日期,小时,城市ID,城市名称,pid,省份,avg_onload,avg_domReady,avg_firstPaint,avg_dnsLookup,avg_firstByte,avg_responseTime,standard_deviation,pv
20140611,16,150600,鄂尔多斯,150000,内蒙古,5772,2845,79,0,485,435,38110,386
20140611,16,210300,鞍山,210000,辽宁,13463,3194,177,0,818,646,55921,453
20140611,16,211200,铁岭,210000,辽宁,6537,1650,47,0,287,244,47250,156
20140611,16,220400,辽源,220000,吉林,2736,2184,191,0,582,525,6367,61
20140611,16,230500,双鸭山,230000,黑龙江,14816,3307,486,0,665,617,81462,289
20140611,16,320500,苏州,320000,江苏,7363,2418,121,1,481,410,49427,2500
20140611,16,330600,绍兴,330000,浙江,5784,4020,282,0,542,469,48765,746
20140611,16,340700,铜陵,340000,安徽,8573,1717,0,0,259,248,19073,25
20140611,16,341600,亳州,340000,安徽,5995,2144,331,0,464,425,20757,199
20140611,16,350800,龙岩,350000,福建,3899,4140,8,0,486,341,9503,22
20140611,16,360900,宜春,360000,江西,5937,2729,66,0,444,-1680,19543,74
20140611,16,369900,NULL,360000,江西,6752,2376,119,0,495,421,41845,514
20140611,16,370100,济南,370000,山东,9974,2300,341,1,400,352,83742,1255
20140611,16,371000,威海,370000,山东,4468,1513,189,0,416,290,17485,469
20140611,16,410500,安阳,410000,河南,4193,3054,389,0,564,519,10208,159
20140611,16,411400,商丘,410000,河南,6238,2471,145,0,490,439,20695,239
20140611,16,420600,襄阳,420000,湖北,6916,3891,75,0,1591,429,28500,484
20140611,16,430700,常德,430000,湖南,4665,2167,94,0,470,420,15896,184
20140611,16,440800,湛江,440000,广东,2817,3247,236,0,526,85,6865,458
20140611,16,441700,阳江,440000,广东,5766,2822,200,0,444,379,22378,298
20140611,16,445300,云浮,440000,广东,7650,2825,1,0,449,390,59438,213
20140611,16,450900,玉林,450000,广西,3302,3308,4590,0,749,713,8222,186
20140611,16,459900,NULL,450000,广西,6208,2603,162,0,677,461,37990,777
20140611,16,460100,海口,460000,海南,10095,10226,78,0,1864,1535,119816,416
20140611,16,510600,德阳,510000,四川,4676,5503,588,0,1350,1296,26579,402
20140611,16,511500,宜宾,510000,四川,4811,6106,234,0,379,355,10399,88
20140611,16,513300,甘孜,510000,四川,1459,2261,13,0,281,269,2284,40
20140611,16,530800,普洱,530000,云南,7559,3005,0,0,588,553,12351,26
20140611,16,532600,文山,530000,云南,127690,2340,0,0,374,359,489862,17
20140611,16,549900,NULL,540000,西藏,1107,8095,0,240,4844,4190,296,2
20140611,16,610700,汉中,610000,陕西,19265,4277,1102,0,327,249,106963,86
20140611,16,620800,平凉,620000,甘肃,5160,10270,0,0,440,430,4211,4
20140611,16,639900,NULL,630000,青海,8362,5418,66,28,488,419,38524,80
20140611,16,640100,银川,640000,宁夏,3489,5533,93,0,537,505,8953,220
20140611,16,650200,克拉玛依,650000,新疆,1910,7628,0,0,325,305,2702,92
20140611,16,652900,阿克苏,650000,新疆,19563,5935,4,0,503,483,39033,106
20140611,16,820100,澳门,820000,澳门,2547,5126,265,0,1113,945,2965,15
20140611,16,999900,NULL,990000,NULL,3219,1839,26,0,413,332,64630,4837
20140611,16,110100,北京,110000,北京,10781,3597,115,3,806,640,122411,8741
20140611,16,130300,秦皇岛,130000,河北,2405,1733,210,0,437,404,6325,288
20140611,16,140400,长治,140000,山西,3437,3529,170,0,946,782,7361,207
20140611,16,150500,通辽,150000,内蒙古,3229,3582,53,0,879,841,11811,214
20140611,16,210200,大连,210000,辽宁,7208,2703,82,0,439,396,73366,770
20140611,16,211100,盘锦,210000,辽宁,6215,3912,89,0,660,590,27381,320
20140611,16,220300,四平,220000,吉林,2733,5473,73,42,517,437,7424,170
20140611,16,230400,鹤岗,230000,黑龙江,12839,3302,309,0,505,471,66236,186
20140611,16,320400,常州,320000,江苏,7374,2280,147,0,397,190,43433,857
20140611,16,321300,宿迁,320000,江苏,5805,2204,1228,0,506,285,24086,288
20140611,16,330500,湖州,330000,浙江,2662,2756,81,0,364,337,7887,339
20140611,16,340600,淮北,340000,安徽,33703,3368,303,0,422,399,231478,119
20140611,16,341500,六安,340000,安徽,4889,3175,69,0,419,363,19719,268
20140611,16,350700,南平,350000,福建,4397,1988,38,0,300,281,10262,31
20140611,16,360800,吉安,360000,江西,3116,3257,447,0,654,594,5830,82
20140611,16,370900,泰安,370000,山东,4127,1867,191,0,345,325,25520,593
20140611,16,379900,NULL,370000,山东,7509,2434,108,0,388,345,79223,2542
20140611,16,410400,平顶山,410000,河南,6748,2813,85,0,328,298,28149,543
20140611,16,411300,南阳,410000,河南,6114,2426,43,0,404,358,26368,357
20140611,16,420500,宜昌,420000,湖北,4234,3803,216,0,422,364,15445,295
20140611,16,430600,岳阳,430000,湖南,4816,4999,153,0,528,477,13686,278
20140611,16,440700,江门,440000,广东,5628,3595,124,1,789,744,23068,415
20140611,16,441600,河源,440000,广东,3005,3072,173,0,563,476,6990,311
20140611,16,445200,揭阳,440000,广东,6519,4957,524,0,822,439,21340,267
20140611,16,450800,贵港,450000,广西,4899,1838,192,0,424,396,9853,305
20140611,16,469900,NULL,460000,海南,3558,6302,127,0,1324,784,15724,146
20140611,16,510500,泸州,510000,四川,4843,5483,17,0,517,444,22206,104
20140611,16,511400,眉山,510000,四川,16719,5441,0,0,517,488,49742,16
20140611,16,513200,阿坝,510000,四川,1214,2626,0,0,541,537,1623,9
20140611,16,522400,毕节,520000,贵州,2019,2997,2,1,391,344,3457,30
20140611,16,530700,丽江,530000,云南,1427,2607,95,0,766,744,3104,94
20140611,16,532500,红河,530000,云南,2608,2720,41,0,565,446,6406,121
20140611,16,533400,迪庆,530000,云南,1516,2712,0,0,542,520,1429,47
20140611,16,610600,延安,610000,陕西,3568,9537,0,0,519,459,6018,43
20140611,16,620700,张掖,620000,甘肃,1302,4725,0,0,322,300,1519,3
20140611,16,649900,NULL,640000,宁夏,3624,5560,220,14,535,461,8688,82
20140611,16,650100,乌鲁木齐,650000,新疆,5939,6017,26,0,705,601,22809,275
20140611,16,652800,巴音郭楞,650000,新疆,5869,14097,261,7,800,645,5949,53
20140611,16,120100,天津,120000,天津,7840,4277,134,1,779,703,62309,3251
20140611,16,130200,唐山,130000,河北,5349,4313,101,0,588,474,45772,943
20140611,16,131100,衡水,130000,河北,4256,2135,112,0,552,289,9626,414
20140611,16,140300,阳泉,140000,山西,4159,8010,168,0,810,726,15354,329
20140611,16,150400,赤峰,150000,内蒙古,2472,3307,129,0,515,486,6202,161
20140611,16,152200,兴安盟,150000,内蒙古,10058,2746,0,0,324,279,37184,78
20140611,16,210100,沈阳,210000,辽宁,4772,4133,201,1,605,474,20565,1225
20140611,16,211000,辽阳,210000,辽宁,5739,3061,325,0,653,410,17183,151
20140611,16,220200,吉林,220000,吉林,10682,3324,231,0,697,601,87438,446
20140611,16,230300,鸡西,230000,黑龙江,8474,3390,167,1,708,674,32334,84
20140611,16,231200,绥化,230000,黑龙江,2242,3760,15,0,881,827,3168,149
20140611,16,320300,徐州,320000,江苏,1979,2305,82,1,408,375,7792,949
20140611,16,321200,泰州,320000,江苏,3174,2069,83,0,344,313,9775,275
20140611,16,330400,嘉兴,330000,浙江,3872,2277,81,0,367,282,20215,1238
20140611,16,340500,马鞍山,340000,安徽,9041,1562,66,0,352,315,52980,274
20140611,16,341400,巢湖,340000,安徽,5776,2877,4,0,467,452,14183,133
20140611,16,350600,漳州,350000,福建,14424,3127,130,0,353,304,111696,180
20140611,16,360700,赣州,360000,江西,6608,2652,458,0,596,426,30068,103
20140611,16,370800,济宁,370000,山东,4045,1956,118,0,407,142,20001,621
20140611,16,371700,菏泽,370000,山东,6142,2125,88,0,565,397,33884,299
20140611,16,410300,洛阳,410000,河南,4857,3046,74,0,440,412,25416,669
20140611,16,411200,三门峡,410000,河南,10591,6429,175,0,743,697,29900,159
20140611,16,421300,随州,420000,湖北,4072,3458,62,0,990,939,7298,62
20140611,16,430500,邵阳,430000,湖南,2204,1821,24,0,246,232,4490,204
20140611,16,440600,佛山,440000,广东,5570,2712,138,0,480,397,38000,1243
20140611,16,441500,汕尾,440000,广东,2374,4001,112,0,424,390,4611,255
20140611,16,445100,潮州,440000,广东,5511,3506,15,0,441,389,15562,176
20140611,16,450700,钦州,450000,广西,3432,1956,47,0,403,345,8803,92
20140611,16,510400,攀枝花,510000,四川,6478,4461,440,0,493,460,15157,64
20140611,16,511300,南充,510000,四川,4584,2373,218,0,440,415,11686,225
20140611,16,522300,黔西南,520000,贵州,4110,4123,1050,0,664,618,13628,146
20140611,16,530600,昭通,530000,云南,1521,2025,217,0,464,421,2021,44
